"block";"mehl";"salz";"backpulver";"bewertung"
1;-1;-1;-1;3,55
1;1;-1;-1;3,13
1;-1;1;-1;0,66
1;1;1;-1;3,54
1;-1;-1;1;1,74
1;1;-1;1;3,53
1;-1;1;1;1,47
1;1;1;1;5,83
1;-1;-1;-1;5,17
1;1;-1;-1;4,38
1;-1;1;-1;4,96
1;1;1;-1;6,05
1;-1;-1;1;3,21
1;1;-1;1;5,07
1;-1;1;1;1,89
1;1;1;1;6,25
1;-1;-1;-1;4,39
1;1;-1;-1;5,05
1;-1;1;-1;5,49
1;1;1;-1;5,44
1;-1;-1;1;1,85
1;1;-1;1;5,3
1;-1;1;1;3,2
1;1;1;1;5,94
1;-1;-1;-1;3,93
1;1;-1;-1;2,84
1;-1;1;-1;1,16
1;1;1;-1;3,9
1;-1;-1;1;1,75
1;1;-1;1;2,84
1;-1;1;1;1,3
1;1;1;1;5,64
2;-1;-1;-1;3,8
2;1;-1;-1;3,61
2;-1;1;-1;1,25
2;1;1;-1;3,64
2;-1;-1;1;2,09
2;1;-1;1;2,75
2;-1;1;1;0,96
2;1;1;1;5,78
2;-1;-1;-1;5,07
2;1;-1;-1;4,66
2;-1;1;-1;4,86
2;1;1;-1;5,74
2;-1;-1;1;2,9
2;1;-1;1;4,95
2;-1;1;1;1,83
2;1;1;1;5,97
2;-1;-1;-1;3,98
2;1;-1;-1;5,05
2;-1;1;-1;5,1
2;1;1;-1;5,81
2;-1;-1;1;1,6
2;1;-1;1;5,77
2;-1;1;1;2,88
2;1;1;1;6,02
2;-1;-1;-1;3,87
2;1;-1;-1;3,04
2;-1;1;-1;1,18
2;1;1;-1;3,84
2;-1;-1;1;1,65
2;1;-1;1;2,96
2;-1;1;1;1,32
2;1;1;1;6,29
